disease,symptoms
hypersecretory glaucoma,"intermittent elevation of intraocular pressure, nausea, seeing halos around lights, eye redness"
intracranial arteriovenous malformation (avm),"heart failure, hydrocephalus, shortness of breath, fatigue, swelling of the legs"
osteochondritis of the medial condyle of the tibia,"genu valgum, child, knee pain, swelling around the knee joint, decreased range of motion"
acute panniculitis,"scleroderma, fever, malaise, joint pain"
heterophoria,"fatigue, headache, diplopia, strabismus, nausea, eye pain, dizziness"
phlegm-retention syndrome,"sticky obstruction in meridians, impaired flow of qi, dampness causing difficulties, shortness of breath on exertion, loose stools, excessive phlegm, lethargy"
neuroendocrine tumor skin metastasis,"black nails, nodules, acne during menstrual periods, inaccurate finger-to-nose coordination"
dermoid cyst and epidermoid cyst,"cystic changes, subcutaneous cysts, localized pain, swelling, discharge if ruptured"
febrile seizures in children,"convulsions, seizures, child, high fever, loss of appetite, headache"
cutaneous lymphocytoma,"flesh-colored nodules, red papules, nodule growth over time, skin sensitivity in affected area, general malaise"
vulvodynia,"vulvar pain, localized swelling, itching, skin damage and fissures, bleeding, painful bowel movements, changes in skin color"
male hypogonadism,"small testicles, male, fatigue, difficulty concentrating, hot flashes"
behcet's disease with psychiatric disorders,"hallucinations, sleep disturbances, paranoia, social withdrawal"
gastrointestinal cancer metastasis to ovaries,"increased vaginal discharge, weight loss, fatigue, abdominal pain"
interstitial cystitis,"increased nocturia, mild abdominal pain, pelvic pressure, pain during intercourse"
nephrogenic diabetes insipidus in children,"excessive thirst, growth disorders, child, delayed development, muscle weakness, appetite loss"
parvovirus infection,"petechial rash, fatigue, high fever, joint pain, swollen lymph nodes"
kaposi's sarcoma,"pigmented sarcoma of the skin, multifocal lesions, pain in lesions, lymphedema, general malaise"
mobile cecum syndrome,"constipation, abdominal cramping, fatigue, loss of appetite"
acute intermittent porphyria,"nausea and vomiting, muscle pain, confusion, insomnia"
gastrointestinal food intolerance,"syncope, colic, nausea and vomiting, purpura"
iridocyclitis syndrome of glaucoma,"increased intraocular pressure, sudden and rapid increase in eye pressure, pupil deformation, visual impairment, eye fatigue, blurred vision"
mycobacterium marinum infection,"nodules, fever, joint pain, fatigue"
catecholaminopathy,"severe headache, palpitations, tachycardia, profuse sweating, cold hands and feet, abdominal distension, anxiety"
chronic granulocytic leukemia in the elderly,"difficulty breathing, hepatomegaly, fever, joint pain"
brain herniation,"severe headache, vomiting, opisthotonus, brainstem damage signs, neck pain, significant blood pressure fluctuations, abnormal breathing"
retroperitoneal infection and abscess,"abdominal pain, loss of appetite, malaise, low-grade fever"
chronic rhinitis,"runny nose, dizziness, insomnia, lethargy"
folic acid deficiency neuropathy,"ataxia, nystagmus, numbness, burning sensation in distal limbs, mental dullness, lack of initiative in speech, apathy"
psychogenic vomiting,"psychogenic vomiting, fear of eating in public, weight loss, stress"
dermatological dysplasia,"crusting, itching, redness, swelling"
vein of galen aneurysm,"pineal region mass, hydrocephalus, child, vision changes, loss of coordination, memory disturbances"
delayed stress reaction,"panic, dizziness, trouble concentrating, sleep disturbances"
radiation-induced neurological injury,"sensory disturbances, transverse myelitis, fatigue, pain, bladder dysfunction"
acute suppurative cholangitis,"fever, jaundice, loss of appetite, weight loss, malaise"
heat syndrome,"frequent urination, dry mouth, feeling of warmth, mild shortness of breath"
ureteral calculi,"unilateral flank pain, microscopic hematuria, painful urination, pain often colicky, frequent urination, urgent urination, pain may radiate to testicle or labium"
sickle cell nephropathy,"acute kidney failure, dactylitis, fever, skin ulcers"
metabolic alkalosis,"somnolence, weakness, confusion, headache"
perioperative psychiatric disorder,"anxiety, tension, fear, depression"
fuchs dystrophy,"increased intraocular pressure, typical beaten-silver appearance in the posterior central cornea, vision deterioration in humid weather, difficulty with night driving"
angiolipoma,"clearly defined small tumors, mild discomfort when touched, localized warmth, occasional itching around the tumor"
sternum fracture,"chest pain, sternum tenderness, coughing, abnormal breathing, bluish coloration of the lips or fingernails, sweating, weakness"
pericarditis,"cardiac tamponade, pericardial effusion, palpitations, weakness, lightheadedness"
fissured tongue,"numerous intersecting grooves on the tongue, dry mouth, bad breath, sensitivity to spicy foods"
interparietal hernia,"elevated position of the testicle on the affected side, progressively worsening abdominal pain, vomiting, tenderness in the groin area"
pediatric acute cholecystitis,"abdominal pain, nausea, child, fever, malaise, rapid heartbeat"
panniculitis,"subcutaneous nodules, itching, local redness, fatigue"
acrodermatitis continua,"symmetric erythema, presence of pustules on the surface, sensations of burning and stinging, generalized rash, fever, loss of appetite, weight loss"
ovarian struma,"abdominal pain, increased menstrual flow, nausea, difficulty eating, pelvic pain"
vulvar ewing's sarcoma,"movable, female, mild discomfort while walking, skin changes on the vulva, weight loss"
congenital liver cyst,"ascites, vomiting, upper abdominal mass, ovarian cysts, jaundice, abdominal discomfort, decreased appetite"
biliary-cardiac syndrome,"nausea, aversion to greasy food, belching, mild abdominal discomfort, feeling of bloatedness"
renal artery aneurysm,"hypertension, hematuria, headache, blurred vision, palpitations"
bladder tumor,"intermittent, painless, gross hematuria, pelvic pain, frequent urination, weak urine stream, nocturia, urgency, pain during urination, feeling of incomplete bladder emptying"
stump carcinoma of cervix,"irregular vaginal bleeding, increased vaginal discharge, nonfunctional kidney, vesicular edema, female, unintentional weight loss, fatigue, night sweats"
brachydactyly-spherophakia syndrome,"visual impairment, nausea and vomiting, headache, increased intraocular pressure"
convulsions,"twitching, confusion, sleepiness after event, temporary weakness"
blepharopathy,"ectropion, tearing, chronic eye irritation, exposure keratitis"
lupus vulgaris erythematotelangiectatic rosacea,"facial flushing, papules, erythema with scales, pustules, ocular rosacea, fine red vascular lines (telangiectasia), peeling"
calcific valvular disease in the elderly,"angina, elderly, palpitations, chest pain, calcification deposits"
adrenogenital syndrome,"precocious puberty, intersex anomalies, child, fatigue, low blood sugar"
acute transverse myelitis in children,"loss of sensation, child, tingling sensation, fatigue, difficulty walking"
pediatric acute toxic encephalopathy,"fever, vomiting, seizures, pre-coma fontanel bulging, child, somnolence, oliguria, generalized tonic muscle spasms"
cold-damp diarrhea,"diarrhea, chills, cold limbs, abdominal pain, fatigue, nausea, decreased urine output"
acute infections in elderly cancer patients,"urinary tract infection, frequent urination, immunodeficiency, granulocytopenia"
pregnancy complicated with syphilis,"premature birth, neonatal death, jaundice, anemia, enlarged liver and spleen"
multiple endocrine neoplasia type ii in children,"diarrhea, peptic ulcers, hot flashes, genital erythema, child, fatigue, increased appetite, nausea, bloating"
writer's cramp,"muscle spasms in the hand, tremors, mild pain in the forearm, difficulty in performing other fine motor tasks"
dystocia,"inefficient uterine contractions, abnormality in the soft birth canal, increased vaginal discharge, vaginal bleeding, fetal heart rate anomalies"
mental disorders induced by medical drug poisoning,"depression, irritability, slow reactions, nightmares"
type i hypersensitivity disorders,"pale and edematous nasal mucosa, chest tightness, sniffling, headache, slight cough"
nipple and areola inflammation,"nipple eczema, nipple inversion, female, itchiness, skin thickening"
somnambulism,"sleepwalking, daytime sleepiness, difficulty concentrating, non-refreshing sleep"
neonatal brain edema,"irritability, somnolence, coma, newborn, seizures, poor feeding, full or bulging fontanel, abnormal reflexes"
nitrate poisoning,"cyanosis, headache, fatigue, nausea"
intestinal tuberculosis,"abdominal pain, diarrhea, abdominal distension, low fever, nausea, extraintestinal tuberculosis, night sweats"
pediatric hyponatremia,"skin mottling, child, restlessness, cold extremities, reduced muscle tone"
poliomyelitis,"irritability, fatigue, fever, headache"
bronchiectasis in the elderly,"cough, hemoptysis, fever, fatigue, elderly, anemia, blood-streaked sputum"
secondary glaucoma in aphakic and pseudophakic eyes,"eye pain, mild headache, blurred vision, increased tearing"
hyperinsulinemia,"obesity, polyphagia, acanthosis nigricans, slow healing of cuts and wounds, yeast infections"
pulmonary disease,"cough, chest tightness, hemoptysis, fever, rapid breathing, bluish skin coloration, exhaustion"
omentitis,"abdominal pain, peritonitis, low-grade fever, anorexia, fatigue"
calcifying epithelioma,"skin nodules, skin ulceration, oozing from the ulcer, crusting over the nodule, mild fever"
alopecia areata,"hair loss, hair thinning, total baldness, sensitive scalp, difficulty sleeping, loss of eyebrow hair, loss of eyelash hair"
parathyroid bone disease,"bone pain, fatigue, nausea, constipation"
childhood leukemia,"gum bleeding, child, anemia, fever, swelling of lymph nodes"
infertility with positive serum anti-sperm antibodies,"infertility, reproductive tract damage, erectile dysfunction, pelvic pain"
orbital floor fracture,"visual impairment, eye pain, exophthalmos, diplopia, redness of the eye, sensitivity to light, decreased peripheral vision"
vascular reticulum cell tumor,"visual impairment, hemianopia, mild headache, occasional dizziness"
congenital ovarian hypoplasia,"undeveloped breasts and nipples, short and broad neck with webbing, widely spaced nipples, lymphedema of the lower limbs"
small intestinal lipoma,"intermittent episodes of concealed or dull abdominal pain, nausea, vomiting, abdominal distension"
glioblastoma,"headache, seizures, numbness, blurry vision"
persistent vegetative state (pvs),"coma, loss of consciousness, lack of emotional response, cognitive dysfunction, irregular sleep-wake cycles, abnormal breathing patterns, fluctuating blood pressure"
submental space infection,"lymph node enlargement, skin congestion in the submental triangle area, pain, high fever, body aches, increased salivation, difficulty breathing"
